x0000,y0000
0,2.841069659,
0.244140625,2.449246286,
0.48828125,2.090220785,
0.732421875,1.841580505,
0.9765625,1.630316555,
1.220703125,1.447420459,
1.46484375,1.279615433,
1.708984375,1.136148572,
1.953125,0.9826073635,
2.197265625,0.8916333479,
2.44140625,0.8094322096,
2.685546875,0.6589779969,
2.9296875,0.700877365,
3.173828125,0.6245791096,
3.41796875,0.6689071386,
3.662109375,0.6961603585,
3.90625,0.7665269051,
4.150390625,0.735909683,
4.39453125,0.7040550069,
4.638671875,0.7352632909,
4.8828125,0.7764389508,
5.126953125,0.6904794503,
5.37109375,0.7964893278,
5.615234375,0.7791753357,
5.859375,0.7981281633,
6.103515625,0.8611453954,
6.34765625,0.8491911289,
6.591796875,0.8793613435,
6.8359375,0.9325186104,
7.080078125,0.9581325156,
7.32421875,1.04542229,
7.568359375,1.084893977,
7.8125,1.105217579,
8.056640625,1.10108561,
8.30078125,1.089752512,
8.544921875,1.110279883,
8.7890625,1.139481088,
9.033203125,1.196509574,
9.27734375,1.263456009,
9.521484375,1.309528403,
9.765625,1.363549331,
10.00976562,1.429279799,
10.25390625,1.472975169,
10.49804688,1.529513586,
10.7421875,1.579638097,
10.98632812,1.634992179,
11.23046875,1.693458532,
11.47460938,1.763130018,
11.71875,1.829326606,
11.96289062,1.908526023,
12.20703125,1.99426012,
12.45117188,2.098515254,
12.6953125,2.223010008,
12.93945312,2.384826446,
13.18359375,2.629946228,
13.42773438,3.209879152,
13.671875,2.994696828,
13.91601562,2.587275488,
14.16015625,2.390113796,
14.40429688,2.260102941,
14.6484375,2.162558369,
14.89257812,2.086351781,
15.13671875,2.021224628,
15.38085938,1.969782986,
15.625,1.927617954,
15.86914062,1.885672807,
16.11328125,1.850054305,
16.35742188,1.816382322,
16.6015625,1.787374303,
16.84570312,1.752931474,
17.08984375,1.731198429,
17.33398438,1.709985435,
17.578125,1.694768044,
17.82226562,1.675554518,
18.06640625,1.66395896,
18.31054688,1.648208389,
18.5546875,1.622795685,
18.79882812,1.620791232,
19.04296875,1.604384927,
19.28710938,1.590329156,
19.53125,1.584692599,
19.77539062,1.571663183,
20.01953125,1.554587434,
20.26367188,1.54655637,
20.5078125,1.540156383,
20.75195312,1.531264096,
20.99609375,1.50747874,
21.24023438,1.515547292,
21.484375,1.49314144,
21.72851562,1.484563591,
21.97265625,1.478545087,
22.21679688,1.476460357,
22.4609375,1.461366212,
22.70507812,1.451249822,
22.94921875,1.438888053,
23.19335938,1.433750915,
23.4375,1.428702705,
23.68164062,1.418722141,
23.92578125,1.40678369,
24.16992188,1.404788421,
24.4140625,1.386895997,
24.65820312,1.384426363,
24.90234375,1.387477185,
25.14648438,1.372608572,
25.390625,1.381105283,
25.63476562,1.363782071,
25.87890625,1.364948084,
26.12304688,1.347150409,
26.3671875,1.343299112,
26.61132812,1.34137783,
26.85546875,1.311542246,
27.09960938,1.302937204,
27.34375,1.276913046,
27.58789062,1.30381035,
27.83203125,1.279069389,
28.07617188,1.288167384,
28.3203125,1.273143449,
28.56445312,1.259599485,
28.80859375,1.247958823,
29.05273438,1.238364763,
29.296875,1.234497186,
29.54101562,1.233123738,
29.78515625,1.231121694,
30.02929688,1.218694335,
30.2734375,1.213217382,
30.51757812,1.202451841,
30.76171875,1.201291387,
31.00585938,1.191072234,
31.25,1.19120687,
31.49414062,1.190553696,
31.73828125,1.19114596,
31.98242188,1.175020682,
32.2265625,1.163021384,
32.47070312,1.166884948,
32.71484375,1.162285738,
32.95898438,1.143404984,
33.203125,1.139540558,
33.44726562,1.140300676,
33.69140625,1.132489505,
33.93554688,1.123148483,
34.1796875,1.081705702,
34.42382812,1.063149819,
34.66796875,1.044229318,
34.91210938,1.042756507,
35.15625,1.043618262,
35.40039062,1.000135959,
35.64453125,1.023101167,
35.88867188,0.9684165022,
36.1328125,1.023414389,
36.37695312,1.006390367,
36.62109375,0.975001358,
36.86523438,0.9859077127,
37.109375,1.008752628,
37.35351562,0.9757130625,
37.59765625,0.9484245894,
37.84179688,0.9871735966,
38.0859375,0.9760764448,
38.33007812,0.9544543709,
38.57421875,1.002436282,
38.81835938,1.013242921,
39.0625,1.009997462,
39.30664062,1.048425562,
39.55078125,1.070454067,
39.79492188,1.093011444,
40.0390625,1.103708362,
40.28320312,1.106704804,
40.52734375,1.143000408,
40.77148438,1.196424506,
41.015625,1.19900564,
41.25976562,1.243319586,
41.50390625,1.246328467,
41.74804688,1.27393164,
41.9921875,1.304350904,
42.23632812,1.348133455,
42.48046875,1.370398426,
42.72460938,1.395221074,
42.96875,1.42696863,
43.21289062,1.43661217,
43.45703125,1.469823721,
43.70117188,1.484365186,
43.9453125,1.514000429,
44.18945312,1.550579837,
44.43359375,1.573608982,
44.67773438,1.603807086,
44.921875,1.618459297,
45.16601562,1.643580255,
45.41015625,1.671014533,
45.65429688,1.702218249,
45.8984375,1.721042181,
46.14257812,1.754025809,
46.38671875,1.782856054,
46.63085938,1.811934713,
46.875,1.839370063,
47.11914062,1.87458858,
47.36328125,1.904642947,
47.60742188,1.940126476,
47.8515625,1.975310622,
48.09570312,2.010352134,
48.33984375,2.05409179,
48.58398438,2.093217688,
48.828125,2.139313397,
49.07226562,2.184338638,
49.31640625,2.236811631,
49.56054688,2.291520509,
49.8046875,2.35336306,
50.04882812,2.423540903,
50.29296875,2.505425967,
50.53710938,2.601408368,
50.78125,2.720615241,
51.02539062,2.877316989,
51.26953125,3.114092904,
51.51367188,3.597726566,
51.7578125,3.45587412,
52.00195312,3.065158834,
52.24609375,2.8657744,
52.49023438,2.731311604,
52.734375,2.630064,
52.97851562,2.550208886,
53.22265625,2.483642198,
53.46679688,2.427490022,
53.7109375,2.379363668,
53.95507812,2.335414225,
54.19921875,2.297340427,
54.44335938,2.263882811,
54.6875,2.230886814,
54.93164062,2.20247484,
55.17578125,2.175318292,
55.41992188,2.151690011,
55.6640625,2.128613237,
55.90820312,2.108135781,
56.15234375,2.08838621,
56.39648438,2.069512928,
56.640625,2.052093481,
56.88476562,2.034896955,
57.12890625,2.016833839,
57.37304688,2.004647714,
57.6171875,1.99081808,
57.86132812,1.98651794,
58.10546875,1.958455538,
58.34960938,1.94891464,
58.59375,1.937599284,
58.83789062,1.928834981,
59.08203125,1.912162055,
59.32617188,1.895917067,
59.5703125,1.899036665,
59.81445312,1.883246425,
60.05859375,1.878542025,
60.30273438,1.867770006,
60.546875,1.860607614,
60.79101562,1.858117287,
61.03515625,1.846567691,
61.27929688,1.835733066,
61.5234375,1.826378701,
61.76757812,1.820727142,
62.01171875,1.808340613,
62.25585938,1.804921259,
62.5,1.799886286,
62.74414062,1.782849637,
62.98828125,1.782289068,
63.23242188,1.774262303,
63.4765625,1.766086325,
63.72070312,1.760421541,
63.96484375,1.75378918,
64.20898438,1.745874686,
64.453125,1.740605669,
64.69726562,1.735675852,
64.94140625,1.728708357,
65.18554688,1.721689618,
65.4296875,1.705122359,
65.67382812,1.702480527,
65.91796875,1.698035608,
66.16210938,1.682022393,
66.40625,1.673864136,
66.65039062,1.667387496,
66.89453125,1.657103683,
67.13867188,1.648479589,
67.3828125,1.648135431,
67.62695312,1.641014689,
67.87109375,1.628241305,
68.11523438,1.627769363,
68.359375,1.615594129,
68.60351562,1.616703346,
68.84765625,1.620456905,
69.09179688,1.596214219,
69.3359375,1.597195434,
69.58007812,1.589985057,
69.82421875,1.5784666,
70.06835938,1.573093143,
70.3125,1.575526357,
70.55664062,1.562387849,
