x0000,y0000
0,0.1832962036,
0.244140625,0.1832960654,
0.48828125,0.1832956507,
0.732421875,0.1832949595,
0.9765625,0.1832939919,
1.220703125,0.1832927478,
1.46484375,0.1832912272,
1.708984375,0.1832894302,
1.953125,0.1832873567,
2.197265625,0.1832850069,
2.44140625,0.1832823806,
2.685546875,0.1832794779,
2.9296875,0.1832762988,
3.173828125,0.1832728434,
3.41796875,0.1832691115,
3.662109375,0.1832651034,
3.90625,0.1832608189,
4.150390625,0.1832562581,
4.39453125,0.1832514211,
4.638671875,0.1832463078,
4.8828125,0.1832409183,
5.126953125,0.1832352525,
5.37109375,0.1832293106,
5.615234375,0.1832230926,
5.859375,0.1832165984,
6.103515625,0.1832098281,
6.34765625,0.1832027818,
6.591796875,0.1831954595,
6.8359375,0.1831878612,
7.080078125,0.183179987,
7.32421875,0.1831718368,
7.568359375,0.1831634108,
7.8125,0.183154709,
8.056640625,0.1831457314,
8.30078125,0.183136478,
8.544921875,0.1831269489,
8.7890625,0.1831171442,
9.033203125,0.183107064,
9.27734375,0.1830967081,
9.521484375,0.1830860768,
9.765625,0.18307517,
10.00976562,0.1830639878,
10.25390625,0.1830525302,
10.49804688,0.1830407974,
10.7421875,0.1830287894,
10.98632812,0.1830165062,
11.23046875,0.1830039479,
11.47460938,0.1829911145,
11.71875,0.1829780061,
11.96289062,0.1829646229,
12.20703125,0.1829509647,
12.45117188,0.1829370318,
12.6953125,0.1829228242,
12.93945312,0.1829083419,
13.18359375,0.182893585,
13.42773438,0.1828785536,
13.671875,0.1828632478,
13.91601562,0.1828476676,
14.16015625,0.1828318131,
14.40429688,0.1828156844,
14.6484375,0.1827992816,
14.89257812,0.1827826047,
15.13671875,0.1827656539,
15.38085938,0.1827484292,
15.625,0.1827309306,
15.86914062,0.1827131584,
16.11328125,0.1826951125,
16.35742188,0.182676793,
16.6015625,0.1826582002,
16.84570312,0.1826393339,
17.08984375,0.1826201944,
17.33398438,0.1826007817,
17.578125,0.1825810959,
17.82226562,0.1825611371,
18.06640625,0.1825409054,
18.31054688,0.1825204009,
18.5546875,0.1824996238,
18.79882812,0.182478574,
19.04296875,0.1824572517,
19.28710938,0.1824356571,
19.53125,0.1824137902,
19.77539062,0.182391651,
20.01953125,0.1823692399,
20.26367188,0.1823465567,
20.5078125,0.1823236017,
20.75195312,0.182300375,
20.99609375,0.1822768766,
21.24023438,0.1822531068,
21.484375,0.1822290655,
21.72851562,0.1822047529,
21.97265625,0.1821801692,
22.21679688,0.1821553144,
22.4609375,0.1821301888,
22.70507812,0.1821047923,
22.94921875,0.1820791251,
23.19335938,0.1820531874,
23.4375,0.1820269792,
23.68164062,0.1820005008,
23.92578125,0.1819737522,
24.16992188,0.1819467335,
24.4140625,0.1819194449,
24.65820312,0.1818918866,
24.90234375,0.1818640586,
25.14648438,0.1818359611,
25.390625,0.1818075942,
25.63476562,0.1817789581,
25.87890625,0.1817500529,
26.12304688,0.1817208787,
26.3671875,0.1816914357,
26.61132812,0.181661724,
26.85546875,0.1816317438,
27.09960938,0.1816014952,
27.34375,0.1815709784,
27.58789062,0.1815401935,
27.83203125,0.1815091406,
28.07617188,0.18147782,
