x0004,y0004,x0005,y0005,x0018,y0018,x0019,y0019
13.42773438,2.800352908,13.42773438,3.302388381,13.42773438,3.209879152,14.6484375,2.057986304,
13.671875,2.559174113,13.671875,2.538108871,13.671875,2.994696828,14.89257812,1.95835559,
13.91601562,2.161969871,13.91601562,2.315519149,13.91601562,2.587275488,15.13671875,1.872009166,
14.16015625,1.967971268,14.16015625,2.136222281,14.16015625,2.390113796,15.38085938,1.79498596,
14.40429688,1.840663961,14.40429688,2.005543605,14.40429688,2.260102941,15.625,1.724769388,
14.6484375,1.747528176,14.6484375,1.903865693,14.6484375,2.162558369,15.86914062,1.659647433,
14.89257812,1.673585119,14.89257812,1.814174189,14.89257812,2.086351781,16.11328125,1.598389633,
15.13671875,1.613661945,15.13671875,1.741640096,15.13671875,2.021224628,16.35742188,1.54006901,
15.38085938,1.564751845,15.38085938,1.684238956,15.38085938,1.969782986,16.6015625,1.483956734,
15.625,1.519455853,15.625,1.617760413,15.625,1.927617954,16.84570312,1.429455923,
15.86914062,1.483515875,15.86914062,1.562279582,15.86914062,1.885672807,17.08984375,1.376057641,
16.11328125,1.450060434,16.11328125,1.525252664,16.11328125,1.850054305,17.33398438,1.32330991,
16.35742188,1.420750867,16.35742188,1.474304215,16.35742188,1.816382322,17.578125,1.270794479,
16.6015625,1.392746113,16.6015625,1.430975119,16.6015625,1.787374303,17.82226562,1.218108123,
16.84570312,1.370954891,16.84570312,1.399790039,16.84570312,1.752931474,18.06640625,1.164846374,
17.08984375,1.348657813,17.08984375,1.34614676,17.08984375,1.731198429,18.31054688,1.110588278,
17.33398438,1.326075455,17.33398438,1.324138301,17.33398438,1.709985435,18.5546875,1.054881294,
17.578125,1.308245272,17.578125,1.270489971,17.578125,1.694768044,18.79882812,0.997226065,
17.82226562,1.292264592,17.82226562,1.260213857,17.82226562,1.675554518,19.04296875,0.9370621666,
18.06640625,1.276541459,18.06640625,1.206886382,18.06640625,1.66395896,19.28710938,0.8737590212,
18.31054688,1.261053101,18.31054688,1.187548428,18.31054688,1.648208389,19.53125,0.8066242496,
18.5546875,1.245698757,18.5546875,1.176877402,18.5546875,1.622795685,19.77539062,0.734962348,
18.79882812,1.234025409,18.79882812,1.139819458,18.79882812,1.620791232,20.01953125,0.6582697593,
19.04296875,1.219748569,19.04296875,1.104922382,19.04296875,1.604384927,20.26367188,0.5767838274,
19.28710938,1.208874653,19.28710938,1.088844234,19.28710938,1.590329156,20.5078125,0.4928757159,
19.53125,1.196223785,19.53125,1.082232181,19.53125,1.584692599,20.75195312,0.4139753735,
19.77539062,1.186019797,19.77539062,1.063583098,19.77539062,1.571663183,20.99609375,0.3558375013,
20.01953125,1.173438215,20.01953125,1.064124846,20.01953125,1.554587434,21.24023438,0.337481933,
20.26367188,1.164371416,20.26367188,1.05232016,20.26367188,1.54655637,21.484375,0.3624809707,
20.5078125,1.154733548,20.5078125,1.030130974,20.5078125,1.540156383,21.72851562,0.4143455643,
20.75195312,1.147447975,20.75195312,1.022266688,20.75195312,1.531264096,21.97265625,0.4749709874,
20.99609375,1.135399951,20.99609375,1.001941408,20.99609375,1.50747874,22.21679688,0.5345402602,
21.24023438,1.127783997,21.24023438,1.02420961,21.24023438,1.515547292,22.4609375,0.5894614369,
21.484375,1.122359655,21.484375,1.007983781,21.484375,1.49314144,22.70507812,0.6389848529,
21.72851562,1.114705805,21.72851562,0.9609451308,21.72851562,1.484563591,22.94921875,0.6834022202,
21.97265625,1.104460952,21.97265625,0.9915312517,21.97265625,1.478545087,23.19335938,0.7233064912,
22.21679688,1.09445444,22.21679688,0.9761589998,22.21679688,1.476460357,23.4375,0.7593195431,
22.4609375,1.090146154,22.4609375,0.9980836723,22.4609375,1.461366212,23.68164062,0.7920032027,
22.70507812,1.081903623,22.70507812,0.9982612399,22.70507812,1.451249822,23.92578125,0.8218385655,
22.94921875,1.077124528,22.94921875,1.016956185,22.94921875,1.438888053,24.16992188,0.8492292151,
23.19335938,1.062409231,23.19335938,0.988155093,23.19335938,1.433750915,24.4140625,0.8745115396,
23.4375,1.0605441,23.4375,0.972424667,23.4375,1.428702705,24.65820312,0.8979659814,
23.68164062,1.058089331,23.68164062,0.9992583529,23.68164062,1.418722141,24.90234375,0.9198271588,
23.92578125,1.050276001,23.92578125,0.9983153475,23.92578125,1.40678369,25.14648438,0.9402923535,
24.16992188,1.041184518,24.16992188,0.9948488209,24.16992188,1.404788421,25.390625,0.9595284152,
24.4140625,1.037736839,24.4140625,1.00172964,24.4140625,1.386895997,25.63476562,0.9776773095,
24.65820312,1.030106975,24.65820312,1.015980639,24.65820312,1.384426363,25.87890625,0.9948605573,
24.90234375,1.026327557,24.90234375,1.017866541,24.90234375,1.387477185,26.12304688,1.01118279,
25.14648438,1.013644009,25.14648438,1.008526789,25.14648438,1.372608572,26.3671875,1.026734607,
25.390625,1.013551767,25.390625,1.022720017,25.390625,1.381105283,26.61132812,1.041594878,
25.63476562,1.007492872,25.63476562,1.063586948,25.63476562,1.363782071,26.85546875,1.055832614,
25.87890625,1.009815271,25.87890625,1.02627441,25.87890625,1.364948084,27.09960938,1.069508496,
26.12304688,1.001096661,26.12304688,1.060697798,26.12304688,1.347150409,27.34375,1.082676124,
26.3671875,0.9939728916,26.3671875,1.052268156,26.3671875,1.343299112,27.58789062,1.095383052,
26.61132812,0.9882003578,26.61132812,1.08349415,26.61132812,1.34137783,27.83203125,1.107671648,
26.85546875,0.9855728128,26.85546875,1.056680836,26.85546875,1.311542246,28.07617188,1.119579805,
27.09960938,0.9787990583,27.09960938,1.099854155,27.09960938,1.302937204,28.3203125,1.131141548,
27.34375,0.9709220988,27.34375,1.099637647,27.34375,1.276913046,28.56445312,1.142387537,
27.58789062,0.9726009275,27.58789062,1.089479189,27.58789062,1.30381035,28.80859375,1.1533455,
27.83203125,0.9668981793,27.83203125,1.108165018,27.83203125,1.279069389,29.05273438,1.164040594,
28.07617188,0.9614318805,28.07617188,1.126992578,28.07617188,1.288167384,29.296875,1.174495722,
28.3203125,0.9577346612,28.3203125,1.121401485,28.3203125,1.273143449,29.54101562,1.184731801,
28.56445312,0.9540780807,28.56445312,1.128515437,28.56445312,1.259599485,29.78515625,1.194767993,
28.80859375,0.9529429982,28.80859375,1.131369638,28.80859375,1.247958823,30.02929688,1.204621905,
29.05273438,0.9503886891,29.05273438,1.14969023,29.05273438,1.238364763,30.2734375,1.214309767,
29.296875,0.9419602057,29.296875,1.142557462,29.296875,1.234497186,30.51757812,1.223846583,
29.54101562,0.9373069734,29.54101562,1.164342117,29.54101562,1.233123738,30.76171875,1.233246263,
29.78515625,0.9394408801,29.78515625,1.168447918,29.78515625,1.231121694,31.00585938,1.242521741,
30.02929688,0.9339833343,30.02929688,1.168909126,30.02929688,1.218694335,31.25,1.251685082,
30.2734375,0.9267529905,30.2734375,1.173798181,30.2734375,1.213217382,31.49414062,1.260747571,
30.51757812,0.9338383365,30.51757812,1.189276407,30.51757812,1.202451841,31.73828125,1.269719792,
30.76171875,0.9210527147,30.76171875,1.181618982,30.76171875,1.201291387,31.98242188,1.278611707,
31.00585938,0.9281909239,31.00585938,1.209006382,31.00585938,1.191072234,32.2265625,1.287432718,
31.25,0.9263465667,31.25,1.209919619,31.25,1.19120687,32.47070312,1.296191723,
31.49414062,0.9214726935,31.49414062,1.192080842,31.49414062,1.190553696,32.71484375,1.304897175,
31.73828125,0.9175609562,31.73828125,1.210972227,31.73828125,1.19114596,32.95898438,1.313557124,
31.98242188,0.921111001,31.98242188,1.220869485,31.98242188,1.175020682,33.203125,1.322179262,
32.2265625,0.917367276,32.2265625,1.242440431,32.2265625,1.163021384,33.44726562,1.330770965,
32.47070312,0.9174850011,32.47070312,1.237600687,32.47070312,1.166884948,33.69140625,1.339339328,
32.71484375,0.9128027528,32.71484375,1.260561339,32.71484375,1.162285738,33.93554688,1.347891197,
32.95898438,0.8994265581,32.95898438,1.238300739,32.95898438,1.143404984,34.1796875,1.356433202,
33.203125,0.9049998463,33.203125,1.254471155,33.203125,1.139540558,34.42382812,1.364971785,
33.44726562,0.9025173003,33.44726562,1.246907436,33.44726562,1.140300676,34.66796875,1.373513228,
33.69140625,0.8979967892,33.69140625,1.235751422,33.69140625,1.132489505,34.91210938,1.382063676,
33.93554688,0.902089612,33.93554688,1.250565675,33.93554688,1.123148483,35.15625,1.390629164,
34.1796875,0.8951358472,34.1796875,1.243690187,34.1796875,1.081705702,35.40039062,1.399215639,
34.42382812,0.9023364787,34.42382812,1.251725457,34.42382812,1.063149819,35.64453125,1.407828981,
34.66796875,0.8985020917,34.66796875,1.26523263,34.66796875,1.044229318,35.88867188,1.416475025,
34.91210938,0.9017850018,34.91210938,1.283847362,34.91210938,1.042756507,36.1328125,1.425159583,
35.15625,0.9061179343,35.15625,1.302228536,35.15625,1.043618262,36.37695312,1.433888464,
35.40039062,0.9081092376,35.40039062,1.296597356,35.40039062,1.000135959,36.62109375,1.442667491,
35.64453125,0.9010974217,35.64453125,1.307788881,35.64453125,1.023101167,36.86523438,1.451502527,
35.88867188,0.9020615133,35.88867188,1.30573706,35.88867188,0.9684165022,37.109375,1.460399491,
36.1328125,0.9043967052,36.1328125,1.326645706,36.1328125,1.023414389,37.35351562,1.469364379,
36.37695312,0.9028818281,36.37695312,1.313464854,36.37695312,1.006390367,37.59765625,1.478403287,
36.62109375,0.9036024097,36.62109375,1.313518761,36.62109375,0.975001358,37.84179688,1.487522432,
36.86523438,0.9136219182,36.86523438,1.328900665,36.86523438,0.9859077127,38.0859375,1.496728172,
37.109375,0.9128367435,37.109375,1.332806776,37.109375,1.008752628,38.33007812,1.506027034,
37.35351562,0.9097397582,37.35351562,1.328170193,37.35351562,0.9757130625,38.57421875,1.515425734,
37.59765625,0.9130477971,37.59765625,1.325611549,37.59765625,0.9484245894,38.81835938,1.524931207,
37.84179688,0.9198436942,37.84179688,1.333886737,37.84179688,0.9871735966,39.0625,1.53455063,
38.0859375,0.934911008,38.0859375,1.34976018,38.0859375,0.9760764448,39.30664062,1.544291457,
38.33007812,0.9345504164,38.33007812,1.350697899,38.33007812,0.9544543709,39.55078125,1.554161448,
38.57421875,0.9346852213,38.57421875,1.364458921,38.57421875,1.002436282,39.79492188,1.564168702,
38.81835938,0.9503110766,38.81835938,1.369811024,38.81835938,1.013242921,40.0390625,1.574321697,
39.0625,0.9513595698,39.0625,1.382533706,39.0625,1.009997462,40.28320312,1.584629329,
39.30664062,0.9631400495,39.30664062,1.386959939,39.30664062,1.048425562,40.52734375,1.595100959,
39.55078125,0.9671105336,39.55078125,1.385044727,39.55078125,1.070454067,40.77148438,1.605746456,
39.79492188,0.9789965631,39.79492188,1.386711533,39.79492188,1.093011444,41.015625,1.616576259,
40.0390625,0.9900749558,40.0390625,1.382983161,40.0390625,1.103708362,41.25976562,1.627601432,
40.28320312,0.9986028651,40.28320312,1.401672519,40.28320312,1.106704804,41.50390625,1.63883373,
40.52734375,1.010558019,40.52734375,1.391899339,40.52734375,1.143000408,41.74804688,1.650285676,
40.77148438,1.021307961,40.77148438,1.398958344,40.77148438,1.196424506,41.9921875,1.661970641,
41.015625,1.030218882,41.015625,1.410880381,41.015625,1.19900564,42.23632812,1.673902942,
41.25976562,1.045130287,41.25976562,1.407187197,41.25976562,1.243319586,42.48046875,1.686097942,
41.50390625,1.053233216,41.50390625,1.418465739,41.50390625,1.246328467,42.72460938,1.698572172,
41.74804688,1.073922097,41.74804688,1.428814301,41.74804688,1.27393164,42.96875,1.711343468,
41.9921875,1.08837565,41.9921875,1.443931064,41.9921875,1.304350904,43.21289062,1.724431123,
42.23632812,1.09974977,42.23632812,1.448448752,42.23632812,1.348133455,43.45703125,1.737856064,
42.48046875,1.113835774,42.48046875,1.456046399,42.48046875,1.370398426,43.70117188,1.751641059,
42.72460938,1.132924147,42.72460938,1.453891239,42.72460938,1.395221074,43.9453125,1.765810949,
42.96875,1.149465965,42.96875,1.467642581,42.96875,1.42696863,44.18945312,1.780392926,
43.21289062,1.160332602,43.21289062,1.470793214,43.21289062,1.43661217,44.43359375,1.795416845,
43.45703125,1.175143444,43.45703125,1.481446433,43.45703125,1.469823721,44.67773438,1.810915605,
43.70117188,1.190433975,43.70117188,1.492029397,43.70117188,1.484365186,44.921875,1.826925585,
43.9453125,1.211394782,43.9453125,1.504752884,43.9453125,1.514000429,45.16601562,1.843487168,
44.18945312,1.229637305,44.18945312,1.50571278,44.18945312,1.550579837,45.41015625,1.860645366,
44.43359375,1.248850621,44.43359375,1.515244194,44.43359375,1.573608982,45.65429688,1.878450563,
44.67773438,1.266258976,44.67773438,1.529400882,44.67773438,1.603807086,45.8984375,1.896959426,
44.921875,1.282877506,44.921875,1.533131132,44.921875,1.618459297,46.14257812,1.916236002,
45.16601562,1.30448767,45.16601562,1.541196439,45.16601562,1.643580255,46.38671875,1.936353074,
45.41015625,1.323031087,45.41015625,1.555289607,45.41015625,1.671014533,46.63085938,1.957393837,
45.65429688,1.346719098,45.65429688,1.570678014,45.65429688,1.702218249,46.875,1.979454001,
45.8984375,1.36455187,45.8984375,1.585436743,45.8984375,1.721042181,47.11914062,2.002644441,
46.14257812,1.391303981,46.14257812,1.582035383,46.14257812,1.754025809,47.36328125,2.027094597,
46.38671875,1.413863356,46.38671875,1.60544665,46.38671875,1.782856054,47.60742188,2.052956878,
46.63085938,1.44038846,46.63085938,1.620113938,46.63085938,1.811934713,47.8515625,2.080412451,
46.875,1.466487676,46.875,1.628464136,46.875,1.839370063,48.09570312,2.109678974,
47.11914062,1.49693506,47.11914062,1.650042135,47.11914062,1.87458858,48.33984375,2.141021124,
47.36328125,1.525511222,47.36328125,1.668595676,47.36328125,1.904642947,48.58398438,2.174765195,
