x0000,y0000
0,0.171661377,
0.244140625,0.171661336,
0.48828125,0.1716612131,
0.732421875,0.1716610084,
0.9765625,0.1716607217,
1.220703125,0.171660353,
1.46484375,0.1716599025,
1.708984375,0.17165937,
1.953125,0.1716587556,
2.197265625,0.1716580592,
2.44140625,0.1716572809,
2.685546875,0.1716564206,
2.9296875,0.1716554782,
3.173828125,0.1716544539,
3.41796875,0.1716533475,
3.662109375,0.1716521591,
3.90625,0.1716508886,
4.150390625,0.171649536,
4.39453125,0.1716481013,
4.638671875,0.1716465844,
4.8828125,0.1716449854,
5.126953125,0.1716433041,
5.37109375,0.1716415406,
5.615234375,0.1716396949,
5.859375,0.1716377669,
6.103515625,0.1716357565,
6.34765625,0.1716336638,
6.591796875,0.1716314887,
6.8359375,0.1716292311,
7.080078125,0.171626891,
7.32421875,0.1716244685,
7.568359375,0.1716219633,
7.8125,0.1716193756,
8.056640625,0.1716167052,
8.30078125,0.171613952,
8.544921875,0.1716111162,
8.7890625,0.1716081975,
9.033203125,0.171605196,
9.27734375,0.1716021115,
9.521484375,0.1715989441,
9.765625,0.1715956937,
10.00976562,0.1715923602,
10.25390625,0.1715889436,
10.49804688,0.1715854438,
10.7421875,0.1715818607,
10.98632812,0.1715781943,
11.23046875,0.1715744445,
11.47460938,0.1715706113,
11.71875,0.1715666945,
11.96289062,0.1715626942,
12.20703125,0.1715586102,
12.45117188,0.1715544425,
12.6953125,0.171550191,
12.93945312,0.1715458556,
13.18359375,0.1715414362,
13.42773438,0.1715369328,
13.671875,0.1715323453,
13.91601562,0.1715276737,
14.16015625,0.1715229177,
14.40429688,0.1715180774,
14.6484375,0.1715131527,
14.89257812,0.1715081434,
15.13671875,0.1715030495,
15.38085938,0.171497871,
15.625,0.1714926076,
15.86914062,0.1714872594,
16.11328125,0.1714818261,
16.35742188,0.1714763079,
16.6015625,0.1714707044,
16.84570312,0.1714650157,
17.08984375,0.1714592417,
17.33398438,0.1714533821,
17.578125,0.1714474371,
17.82226562,0.1714414063,
18.06640625,0.1714352898,
18.31054688,0.1714290875,
18.5546875,0.1714227991,
18.79882812,0.1714164247,
19.04296875,0.1714099641,
19.28710938,0.1714034171,
19.53125,0.1713967838,
19.77539062,0.1713900639,
20.01953125,0.1713832574,
20.26367188,0.1713763641,
20.5078125,0.171369384,
20.75195312,0.1713623169,
20.99609375,0.1713551626,
21.24023438,0.1713479211,
21.484375,0.1713405923,
21.72851562,0.1713331759,
21.97265625,0.171325672,
22.21679688,0.1713180803,
22.4609375,0.1713104007,
22.70507812,0.1713026332,
22.94921875,0.1712947776,
23.19335938,0.1712868337,
23.4375,0.1712788014,
23.68164062,0.1712706805,
23.92578125,0.1712624711,
24.16992188,0.1712541728,
24.4140625,0.1712457856,
24.65820312,0.1712373093,
24.90234375,0.1712287438,
25.14648438,0.171220089,
25.390625,0.1712113446,
25.63476562,0.1712025106,
25.87890625,0.1711935869,
26.12304688,0.1711845732,
26.3671875,0.1711754694,
26.61132812,0.1711662753,
26.85546875,0.1711569909,
27.09960938,0.171147616,
27.34375,0.1711381503,
27.58789062,0.1711285938,
27.83203125,0.1711189463,
28.07617188,0.1711092077,
28.3203125,0.1710993777,
28.56445312,0.1710894562,
28.80859375,0.1710794431,
29.05273438,0.1710693383,
29.296875,0.1710591414,
29.54101562,0.1710488524,
29.78515625,0.1710384711,
30.02929688,0.1710279974,
30.2734375,0.171017431,
30.51757812,0.1710067719,
30.76171875,0.1709960197,
31.00585938,0.1709851745,
31.25,0.1709742359,
31.49414062,0.1709632038,
31.73828125,0.1709520781,
31.98242188,0.1709408585,
32.2265625,0.1709295449,
32.47070312,0.1709181371,
32.71484375,0.1709066349,
32.95898438,0.1708950382,
33.203125,0.1708833467,
33.44726562,0.1708715604,
33.69140625,0.1708596789,
33.93554688,0.1708477021,
34.1796875,0.1708356298,
34.42382812,0.1708234619,
34.66796875,0.1708111982,
34.91210938,0.1707988383,
35.15625,0.1707863823,
35.40039062,0.1707738298,
35.64453125,0.1707611807,
35.88867188,0.1707484348,
36.1328125,0.1707355918,
36.37695312,0.1707226517,
36.62109375,0.1707096141,
36.86523438,0.170696479,
37.109375,0.170683246,
37.35351562,0.1706699151,
37.59765625,0.1706564859,
37.84179688,0.1706429583,
38.0859375,0.1706293322,
38.33007812,0.1706156072,
38.57421875,0.1706017831,
38.81835938,0.1705878599,
39.0625,0.1705738372,
39.30664062,0.1705597148,
39.55078125,0.1705454926,
39.79492188,0.1705311703,
40.0390625,0.1705167478,
40.28320312,0.1705022247,
40.52734375,0.170487601,
40.77148438,0.1704728763,
41.015625,0.1704580504,
41.25976562,0.1704431233,
41.50390625,0.1704280945,
41.74804688,0.1704129639,
41.9921875,0.1703977314,
42.23632812,0.1703823966,
42.48046875,0.1703669593,
42.72460938,0.1703514194,
42.96875,0.1703357765,
43.21289062,0.1703200306,
43.45703125,0.1703041812,
43.70117188,0.1702882283,
43.9453125,0.1702721716,
44.18945312,0.1702560109,
44.43359375,0.1702397458,
44.67773438,0.1702233763,
44.921875,0.1702069021,
45.16601562,0.1701903229,
45.41015625,0.1701736385,
45.65429688,0.1701568487,
45.8984375,0.1701399532,
46.14257812,0.1701229519,
46.38671875,0.1701058444,
46.63085938,0.1700886305,
46.875,0.17007131,
47.11914062,0.1700538827,
47.36328125,0.1700363483,
47.60742188,0.1700187066,
47.8515625,0.1700009573,
48.09570312,0.1699831002,
48.33984375,0.1699651351,
48.58398438,0.1699470617,
48.828125,0.1699288797,
49.07226562,0.1699105889,
49.31640625,0.1698921891,
49.56054688,0.1698736801,
49.8046875,0.1698550615,
50.04882812,0.1698363331,
50.29296875,0.1698174948,
50.53710938,0.1697985461,
50.78125,0.1697794869,
51.02539062,0.169760317,
51.26953125,0.169741036,
51.51367188,0.1697216438,
51.7578125,0.16970214,
52.00195312,0.1696825245,
52.24609375,0.1696627969,
52.49023438,0.169642957,
52.734375,0.1696230046,
52.97851562,0.1696029393,
53.22265625,0.169582761,
53.46679688,0.1695624694,
53.7109375,0.1695420642,
53.95507812,0.1695215451,
54.19921875,0.169500912,
54.44335938,0.1694801645,
54.6875,0.1694593023,
54.93164062,0.1694383253,
55.17578125,0.1694172331,
55.41992188,0.1693960255,
55.6640625,0.1693747023,
55.90820312,0.1693532631,
56.15234375,0.1693317077,
56.39648438,0.1693100358,
56.640625,0.1692882472,
56.88476562,0.1692663416,
57.12890625,0.1692443187,
57.37304688,0.1692221783,
57.6171875,0.1691999201,
57.86132812,0.1691775438,
58.10546875,0.1691550491,
58.34960938,0.1691324358,
58.59375,0.1691097037,
58.83789062,0.1690868524,
59.08203125,0.1690638816,
59.32617188,0.1690407912,
59.5703125,0.1690175808,
59.81445312,0.1689942501,
60.05859375,0.168970799,
60.30273438,0.168947227,
60.546875,0.168923534,
60.79101562,0.1688997196,
61.03515625,0.1688757836,
61.27929688,0.1688517257,
61.5234375,0.1688275456,
61.76757812,0.1688032431,
62.01171875,0.1687788178,
62.25585938,0.1687542696,
62.5,0.1687295981,
62.74414062,0.168704803,
62.98828125,0.1686798841,
63.23242188,0.168654841,
63.4765625,0.1686296736,
63.72070312,0.1686043815,
63.96484375,0.1685789644,
64.20898438,0.1685534221,
64.453125,0.1685277543,
64.69726562,0.1685019607,
64.94140625,0.168476041,
65.18554688,0.1684499949,
65.4296875,0.1684238222,
65.67382812,0.1683975226,
65.91796875,0.1683710957,
66.16210938,0.1683445414,
66.40625,0.1683178593,
66.65039062,0.1682910491,
66.89453125,0.1682641106,
67.13867188,0.1682370434,
67.3828125,0.1682098474,
67.62695312,0.1681825221,
67.87109375,0.1681550674,
68.11523438,0.1681274828,
68.359375,0.1680997683,
68.60351562,0.1680719234,
68.84765625,0.1680439478,
69.09179688,0.1680158414,
69.3359375,0.1679876037,
69.58007812,0.1679592346,
69.82421875,0.1679307337,
70.06835938,0.1679021007,
70.3125,0.1678733354,
70.55664062,0.1678444375,
70.80078125,0.1678154067,
71.04492188,0.1677862426,
71.2890625,0.167756945,
71.53320312,0.1677275137,
71.77734375,0.1676979483,
72.02148438,0.1676682485,
72.265625,0.1676384141,
72.50976562,0.1676084447,
72.75390625,0.1675783402,
72.99804688,0.1675481001,
73.2421875,0.1675177242,
73.48632812,0.1674872122,
73.73046875,0.1674565639,
73.97460938,0.1674257789,
74.21875,0.1673948569,
74.46289062,0.1673637977,
74.70703125,0.1673326009,
74.95117188,0.1673012664,
75.1953125,0.1672697937,
75.43945312,0.1672381826,
75.68359375,0.1672064329,
75.92773438,0.1671745442,
76.171875,0.1671425162,
76.41601562,0.1671103486,
76.66015625,0.1670780412,
76.90429688,0.1670455937,
77.1484375,0.1670130058,
77.39257812,0.1669802771,
77.63671875,0.1669474075,
77.88085938,0.1669143966,
78.125,0.1668812441,
78.36914062,0.1668479498,
78.61328125,0.1668145133,
78.85742188,0.1667809343,
79.1015625,0.1667472127,
79.34570312,0.166713348,
79.58984375,0.16667934,
79.83398438,0.1666451885,
80.078125,0.1666108931,
80.32226562,0.1665764535,
80.56640625,0.1665418694,
80.81054688,0.1665071407,
81.0546875,0.1664722669,
81.29882812,0.1664372478,
81.54296875,0.1664020831,
81.78710938,0.1663667725,
82.03125,0.1663313158,
82.27539062,0.1662957126,
82.51953125,0.1662599627,
82.76367188,0.1662240658,
83.0078125,0.1661880215,
83.25195312,0.1661518297,
83.49609375,0.16611549,
83.74023438,0.1660790021,
83.984375,0.1660423658,
84.22851562,0.1660055807,
84.47265625,0.1659686467,
84.71679688,0.1659315633,
84.9609375,0.1658943304,
85.20507812,0.1658569476,
85.44921875,0.1658194147,
85.69335938,0.1657817314,
85.9375,0.1657438973,
86.18164062,0.1657059123,
86.42578125,0.165667776,
86.66992188,0.1656294881,
86.9140625,0.1655910485,
87.15820312,0.1655524567,
87.40234375,0.1655137125,
87.64648438,0.1654748157,
87.890625,0.1654357659,
88.13476562,0.1653965629,
88.37890625,0.1653572065,
88.62304688,0.1653176962,
88.8671875,0.1652780319,
89.11132812,0.1652382133,
89.35546875,0.16519824,
89.59960938,0.1651581119,
89.84375,0.1651178286,
90.08789062,0.1650773899,
90.33203125,0.1650367955,
90.57617188,0.1649960451,
90.8203125,0.1649551385,
91.06445312,0.1649140754,
91.30859375,0.1648728554,
91.55273438,0.1648314784,
91.796875,0.1647899441,
92.04101562,0.1647482521,
92.28515625,0.1647064023,
92.52929688,0.1646643943,
92.7734375,0.1646222279,
93.01757812,0.1645799029,
93.26171875,0.1645374188,
93.50585938,0.1644947756,
93.75,0.1644519729,
93.99414062,0.1644090104,
94.23828125,0.1643658879,
94.48242188,0.1643226051,
94.7265625,0.1642791618,
94.97070312,0.1642355577,
95.21484375,0.1641917925,
95.45898438,0.164147866,
95.703125,0.1641037779,
95.94726562,0.1640595279,
96.19140625,0.1640151158,
96.43554688,0.1639705414,
96.6796875,0.1639258043,
96.92382812,0.1638809043,
97.16796875,0.1638358412,
97.41210938,0.1637906146,
97.65625,0.1637452244,
97.90039062,0.1636996703,
98.14453125,0.163653952,
98.38867188,0.1636080693,
98.6328125,0.1635620219,
98.87695312,0.1635158096,
99.12109375,0.1634694321,
99.36523438,0.1634228891,
99.609375,0.1633761805,
99.85351562,0.163329306,
100.0976562,0.1632822652,
100.3417969,0.163235058,
100.5859375,0.1631876842,
100.8300781,0.1631401434,
101.0742188,0.1630924355,
101.3183594,0.1630445601,
101.5625,0.1629965171,
101.8066406,0.1629483062,
102.0507812,0.1628999272,
102.2949219,0.1628513798,
102.5390625,0.1628026637,
102.7832031,0.1627537788,
103.0273438,0.1627047248,
103.2714844,0.1626555014,
103.515625,0.1626061085,
103.7597656,0.1625565458,
104.0039062,0.162506813,
104.2480469,0.1624569099,
104.4921875,0.1624068363,
104.7363281,0.162356592,
104.9804688,0.1623061767,
105.2246094,0.1622555902,
105.46875,0.1622048323,
105.7128906,0.1621539027,
105.9570312,0.1621028012,
106.2011719,0.1620515276,
106.4453125,0.1620000816,
106.6894531,0.1619484631,
106.9335938,0.1618966717,
107.1777344,0.1618447074,
107.421875,0.1617925698,
107.6660156,0.1617402588,
107.9101562,0.1616877741,
108.1542969,0.1616351155,
108.3984375,0.1615822827,
108.6425781,0.1615292757,
108.8867188,0.1614760941,
109.1308594,0.1614227378,
109.375,0.1613692064,
109.6191406,0.1613154999,
109.8632812,0.161261618,
110.1074219,0.1612075605,
110.3515625,0.1611533272,
110.5957031,0.1610989178,
110.8398438,0.1610443322,
111.0839844,0.1609895702,
111.328125,0.1609346316,
111.5722656,0.1608795161,
111.8164062,0.1608242235,
112.0605469,0.1607687537,
112.3046875,0.1607131065,
112.5488281,0.1606572816,
112.7929688,0.1606012789,
113.0371094,0.1605450981,
113.28125,0.1604887391,
113.5253906,0.1604322016,
113.7695312,0.1603754856,
114.0136719,0.1603185907,
114.2578125,0.1602615168,
114.5019531,0.1602042637,
114.7460938,0.1601468313,
114.9902344,0.1600892192,
115.234375,0.1600314275,
115.4785156,0.1599734557,
115.7226562,0.1599153039,
115.9667969,0.1598569717,
116.2109375,0.159798459,
116.4550781,0.1597397657,
116.6992188,0.1596808916,
116.9433594,0.1596218364,
117.1875,0.1595626,
117.4316406,0.1595031822,
117.6757812,0.1594435829,
117.9199219,0.1593838019,
118.1640625,0.159323839,
118.4082031,0.159263694,
118.6523438,0.1592033668,
118.8964844,0.1591428572,
119.140625,0.159082165,
119.3847656,0.1590212902,
119.6289062,0.1589602324,
119.8730469,0.1588989916,
120.1171875,0.1588375676,
120.3613281,0.1587759602,
120.6054688,0.1587141693,
120.8496094,0.1586521947,
121.09375,0.1585900362,
121.3378906,0.1585276938,
121.5820312,0.1584651673,
121.8261719,0.1584024564,
122.0703125,0.1583395611,
122.3144531,0.1582764812,
122.5585938,0.1582132166,
122.8027344,0.1581497671,
123.046875,0.1580861326,
123.2910156,0.158022313,
123.5351562,0.157958308,
123.7792969,0.1578941175,
124.0234375,0.1578297415,
124.2675781,0.1577651798,
124.5117188,0.1577004322,
124.7558594,0.1576354986,
125,0.157570379,
125.2441406,0.157505073,
125.4882812,0.1574395807,
125.7324219,0.1573739019,
125.9765625,0.1573080364,
126.2207031,0.1572419842,
126.4648438,0.1571757451,
126.7089844,0.157109319,
126.953125,0.1570427058,
127.1972656,0.1569759053,
127.4414062,0.1569089175,
127.6855469,0.1568417422,
127.9296875,0.1567743793,
128.1738281,0.1567068287,
128.4179688,0.1566390903,
128.6621094,0.156571164,
128.90625,0.1565030497,
129.1503906,0.1564347472,
129.3945312,0.1563662565,
129.6386719,0.1562975774,
129.8828125,0.1562287099,
130.1269531,0.1561596538,
130.3710938,0.1560904091,
130.6152344,0.1560209757,
130.859375,0.1559513534,
131.1035156,0.1558815422,
131.3476562,0.155811542,
131.5917969,0.1557413526,
131.8359375,0.1556709741,
132.0800781,0.1556004063,
132.3242188,0.1555296491,
132.5683594,0.1554587024,
132.8125,0.1553875662,
133.0566406,0.1553162404,
133.3007812,0.1552447248,
133.5449219,0.1551730195,
133.7890625,0.1551011243,
134.0332031,0.1550290392,
134.2773438,0.1549567641,
134.5214844,0.154884299,
134.765625,0.1548116437,
135.0097656,0.1547387981,
135.2539062,0.1546657623,
135.4980469,0.1545925362,
135.7421875,0.1545191196,
135.9863281,0.1544455126,
136.2304688,0.1543717151,
136.4746094,0.1542977269,
136.71875,0.1542235482,
136.9628906,0.1541491787,
137.2070312,0.1540746185,
137.4511719,0.1539998675,
137.6953125,0.1539249257,
137.9394531,0.153849793,
138.1835938,0.1537744693,
138.4277344,0.1536989546,
138.671875,0.1536232489,
138.9160156,0.1535473522,
139.1601562,0.1534712644,
139.4042969,0.1533949854,
139.6484375,0.1533185152,
139.8925781,0.1532418538,
140.1367188,0.1531650012,
140.3808594,0.1530879573,
140.625,0.1530107221,
140.8691406,0.1529332956,
141.1132812,0.1528556777,
141.3574219,0.1527778685,
141.6015625,0.1526998678,
141.8457031,0.1526216758,
142.0898438,0.1525432923,
142.3339844,0.1524647173,
142.578125,0.1523859509,
142.8222656,0.152306993,
143.0664062,0.1522278437,
143.3105469,0.1521485028,
143.5546875,0.1520689704,
143.7988281,0.1519892465,
144.0429688,0.1519093311,
144.2871094,0.1518292242,
144.53125,0.1517489258,
144.7753906,0.1516684359,
145.0195312,0.1515877544,
145.2636719,0.1515068815,
145.5078125,0.151425817,
145.7519531,0.1513445611,
145.9960938,0.1512631137,
146.2402344,0.1511814749,
146.484375,0.1510996446,
146.7285156,0.1510176228,
146.9726562,0.1509354097,
147.2167969,0.1508530051,
147.4609375,0.1507704092,
147.7050781,0.150687622,
147.9492188,0.1506046434,
148.1933594,0.1505214735,
148.4375,0.1504381124,
148.6816406,0.15035456,
148.9257812,0.1502708165,
149.1699219,0.1501868818,
149.4140625,0.1501027559,
149.6582031,0.150018439,
149.9023438,0.149933931,
150.1464844,0.149849232,
150.390625,0.1497643421,
150.6347656,0.1496792612,
150.8789062,0.1495939895,
151.1230469,0.1495085269,
151.3671875,0.1494228736,
151.6113281,0.1493370296,
151.8554688,0.149250995,
152.0996094,0.1491647697,
152.34375,0.1490783539,
152.5878906,0.1489917476,
152.8320312,0.1489049509,
153.0761719,0.1488179639,
153.3203125,0.1487307866,
153.5644531,0.148643419,
153.8085938,0.1485558614,
154.0527344,0.1484681136,
154.296875,0.1483801759,
154.5410156,0.1482920482,
154.7851562,0.1482037308,
155.0292969,0.1481152235,
155.2734375,0.1480265266,
155.5175781,0.1479376401,
155.7617188,0.1478485641,
156.0058594,0.1477592986,
156.25,0.1476698439,
156.4941406,0.1475801999,
156.7382812,0.1474903667,
156.9824219,0.1474003445,
157.2265625,0.1473101334,
157.4707031,0.1472197334,
157.7148438,0.1471291447,
157.9589844,0.1470383673,
158.203125,0.1469474014,
158.4472656,0.1468562471,
158.6914062,0.1467649044,
158.9355469,0.1466733735,
159.1796875,0.1465816545,
159.4238281,0.1464897476,
159.6679688,0.1463976528,
159.9121094,0.1463053702,
160.15625,0.1462129,
160.4003906,0.1461202423,
160.6445312,0.1460273972,
160.8886719,0.1459343649,
161.1328125,0.1458411454,
161.3769531,0.1457477389,
161.6210938,0.1456541456,
161.8652344,0.1455603656,
162.109375,0.1454663989,
162.3535156,0.1453722459,
162.5976562,0.1452779065,
162.8417969,0.1451833809,
163.0859375,0.1450886693,
163.3300781,0.1449937718,
163.5742188,0.1448986886,
163.8183594,0.1448034198,
164.0625,0.1447079656,
164.3066406,0.1446123261,
164.5507812,0.1445165015,
164.7949219,0.1444204919,
165.0390625,0.1443242975,
165.2832031,0.1442279185,
165.5273438,0.1441313549,
165.7714844,0.1440346071,
166.015625,0.1439376752,
166.2597656,0.1438405592,
166.5039062,0.1437432595,
166.7480469,0.1436457761,
166.9921875,0.1435481092,
167.2363281,0.1434502591,
167.4804688,0.1433522259,
167.7246094,0.1432540097,
167.96875,0.1431556109,
168.2128906,0.1430570294,
168.4570312,0.1429582656,
168.7011719,0.1428593197,
168.9453125,0.1427601917,
