x0000,y0000
0,3.141592654,
0.244140625,1.519590227,
0.48828125,1.129307338,
0.732421875,0.8895946963,
0.9765625,0.6825483514,
1.220703125,0.499191133,
1.46484375,0.4007527657,
1.708984375,0.2893307711,
1.953125,0.1902063042,
2.197265625,0.06492730755,
2.44140625,0.01987104173,
2.685546875,-0.1867213845,
2.9296875,-0.4031647275,
3.173828125,-0.4978758968,
3.41796875,-0.5129924535,
3.662109375,-0.6374388727,
3.90625,-0.663376813,
4.150390625,-0.6560692536,
4.39453125,-0.6452333415,
4.638671875,-0.8207951378,
4.8828125,-0.8203995752,
5.126953125,-0.7663826151,
5.37109375,-0.7753268786,
5.615234375,-0.9002598701,
5.859375,-0.8646521633,
6.103515625,-0.8560597028,
6.34765625,-0.8801541308,
6.591796875,-0.8589625,
6.8359375,-0.8567932948,
7.080078125,-0.7883455204,
7.32421875,-0.8205753173,
7.568359375,-0.7495559877,
7.8125,-0.5663157563,
8.056640625,-0.5557669691,
8.30078125,-0.5251180863,
8.544921875,-0.5620708481,
8.7890625,-0.5971955755,
9.033203125,-0.5779262031,
9.27734375,-0.5791373988,
9.521484375,-0.579216195,
9.765625,-0.5541258875,
10.00976562,-0.5508466785,
10.25390625,-0.5175517826,
10.49804688,-0.4959945835,
10.7421875,-0.4757104112,
10.98632812,-0.4628457794,
11.23046875,-0.4465844878,
11.47460938,-0.428682281,
11.71875,-0.4114423732,
11.96289062,-0.4011507302,
12.20703125,-0.3837465801,
12.45117188,-0.3774081831,
12.6953125,-0.3811147556,
12.93945312,-0.3813250376,
13.18359375,-0.3967696867,
13.42773438,-0.5516159054,
13.671875,2.964059889,
13.91601562,2.893658119,
14.16015625,2.885332546,
14.40429688,2.883751993,
14.6484375,2.884981589,
14.89257812,2.89307484,
15.13671875,2.899166913,
15.38085938,2.905936763,
15.625,2.920693883,
15.86914062,2.93653338,
16.11328125,2.936782236,
16.35742188,2.944920485,
16.6015625,2.946093602,
16.84570312,2.944637295,
17.08984375,2.970624277,
17.33398438,2.952076415,
17.578125,2.974851064,
17.82226562,2.96427815,
18.06640625,2.976403152,
18.31054688,2.977641337,
18.5546875,2.977844937,
18.79882812,2.971424076,
19.04296875,2.993570671,
19.28710938,2.982016868,
19.53125,2.997934322,
19.77539062,2.999186681,
20.01953125,2.990713807,
20.26367188,2.996344518,
20.5078125,3.000933317,
20.75195312,3.031820231,
20.99609375,3.029387468,
21.24023438,3.047067827,
21.484375,3.050438025,
21.72851562,3.07080295,
21.97265625,3.066630429,
22.21679688,3.061465687,
22.4609375,3.09730247,
22.70507812,3.079040118,
22.94921875,3.085989249,
23.19335938,3.136463154,
23.4375,3.066779982,
23.68164062,3.102782383,
23.92578125,3.109395281,
24.16992188,-3.140383299,
24.4140625,3.137164163,
24.65820312,3.137890035,
24.90234375,-3.12979265,
25.14648438,-3.127135211,
25.390625,-3.114948205,
25.63476562,-3.102541359,
25.87890625,-3.071185489,
26.12304688,-3.088684615,
26.3671875,-3.073201374,
26.61132812,-3.017959486,
26.85546875,-3.043322638,
27.09960938,-3.018991924,
27.34375,-3.020664088,
