"Ch 0 - Voltage_0_x","Ch 0 - Voltage_0_y"
0,-0.009765625,
0.0005,-0.009765625,
0.001,-0.009765625,
0.0015,-0.009765625,
0.002,-0.009765625,
0.0025,-0.009765625,
0.003,-0.009765625,
0.0035,-0.009765625,
0.004,-0.009765625,
0.0045,-0.009765625,
0.005,-0.009765625,
0.0055,-0.009765625,
0.006,-0.009765625,
0.0065,-0.009765625,
0.007,-0.009765625,
0.0075,-0.009765625,
0.008,-0.009765625,
0.0085,-0.009765625,
0.009,-0.009765625,
0.0095,-0.009765625,
0.01,-0.009765625,
0.0105,-0.009765625,
0.011,-0.009765625,
0.0115,-0.009765625,
0.012,-0.009765625,
0.0125,-0.009765625,
0.013,-0.009765625,
0.0135,-0.009765625,
0.014,-0.009765625,
0.0145,0.5029296875,
0.015,2.885742188,
0.0155,0.95703125,
0.016,-4.047851562,
0.0165,-6.020507812,
0.017,-1.684570312,
0.0175,0.6884765625,
0.018,1.079101562,
0.0185,0.41015625,
0.019,-1.079101562,
0.0195,0.693359375,
0.02,3.486328125,
0.0205,2.709960938,
0.021,1.26953125,
0.0215,0.21484375,
0.022,-2.666015625,
0.0225,-2.412109375,
0.023,0.615234375,
0.0235,1.396484375,
0.024,0.9375,
0.0245,-0.849609375,
0.025,-2.763671875,
0.0255,-0.8447265625,
0.026,1.284179688,
0.0265,2.260742188,
0.027,2.79296875,
0.0275,1.73828125,
0.028,-2.045898438,
0.0285,-3.33984375,
0.029,-1.840820312,
0.0295,-0.2734375,
0.03,1.3671875,
0.0305,0.8544921875,
0.031,0.234375,
0.0315,1.328125,
0.032,1.655273438,
0.0325,1.567382812,
0.033,2.109375,
0.0335,-0.1416015625,
0.034,-4.140625,
0.0345,-5.15625,
0.035,-2.626953125,
0.0355,0.2978515625,
0.036,3.217773438,
0.0365,3.041992188,
0.037,1.337890625,
0.0375,0.68359375,
0.038,0.087890625,
0.0385,1.020507812,
0.039,2.900390625,
0.0395,1.870117188,
0.04,-2.373046875,
0.0405,-3.725585938,
0.041,-3.037109375,
0.0415,-1.044921875,
0.042,1.088867188,
0.0425,0.6982421875,
0.043,-0.283203125,
0.0435,-0.1611328125,
0.044,0.2490234375,
0.0445,2.490234375,
0.045,4.970703125,
0.0455,2.758789062,
0.046,-1.611328125,
0.0465,-3.798828125,
0.047,-3.999023438,
0.0475,-1.879882812,
0.048,1.298828125,
0.0485,1.357421875,
0.049,1.279296875,
0.0495,0.4541015625,
0.05,-1.07421875,
0.0505,0.419921875,
0.051,2.192382812,
0.0515,0.439453125,
0.052,-2.01171875,
0.0525,-2.724609375,
0.053,-2.568359375,
0.0535,0,
0.054,2.3046875,
0.0545,2.622070312,
0.055,2.236328125,
0.0555,0.078125,
0.056,-1.879882812,
0.0565,-0.4052734375,
0.057,1.411132812,
0.0575,0.7861328125,
0.058,-0.6689453125,
0.0585,-2.34375,
0.059,-3.637695312,
0.0595,-2.333984375,
0.06,-0.0634765625,
0.0605,1.977539062,
0.061,3.452148438,
0.0615,1.655273438,
0.062,-0.0244140625,
0.0625,1.123046875,
0.063,1.977539062,
0.0635,1.020507812,
0.064,-0.703125,
0.0645,-3.22265625,
0.065,-5.102539062,
0.0655,-3.735351562,
0.066,-0.7470703125,
0.0665,2.412109375,
0.067,3.974609375,
0.0675,1.572265625,
0.068,-0.8251953125,
0.0685,-0.3564453125,
0.069,0.615234375,
0.0695,0.9228515625,
0.07,0.7373046875,
0.0705,-1.137695312,
0.071,-3.134765625,
0.0715,-2.641601562,
0.072,-0.78125,
0.0725,1.884765625,
0.073,2.690429688,
0.0735,0.078125,
0.074,-1.684570312,
0.0745,-0.83984375,
0.075,0.1953125,
0.0755,1.23046875,
0.076,1.450195312,
0.0765,-0.7177734375,
0.077,-2.919921875,
0.0775,-2.797851562,
0.078,-1.123046875,
0.0785,2.319335938,
0.079,4.028320312,
0.0795,1.85546875,
0.08,0.4052734375,
0.0805,-0.3369140625,
0.081,-1.166992188,
0.0815,-0.732421875,
0.082,-0.33203125,
0.0825,-1.879882812,
0.083,-3.041992188,
0.0835,-2.91015625,
0.084,-0.986328125,
0.0845,2.875976562,
0.085,4.326171875,
0.0855,2.807617188,
0.086,1.25,
0.0865,-0.5126953125,
0.087,-1.6796875,
0.0875,-0.5517578125,
0.088,0.3564453125,
0.0885,-0.4296875,
0.089,-2.060546875,
0.0895,-3.442382812,
0.09,-2.612304688,
0.0905,0.7373046875,
0.091,2.485351562,
0.0915,2.490234375,
0.092,2.045898438,
0.0925,0.09765625,
0.093,-0.8642578125,
0.0935,0.2880859375,
0.094,1.352539062,
0.0945,0.478515625,
0.095,-1.455078125,
0.0955,-3.41796875,
0.096,-2.592773438,
0.0965,0.6689453125,
0.097,2.739257812,
0.0975,3.22265625,
0.098,2.24609375,
0.0985,-0.6689453125,
0.099,-2.40234375,
0.0995,-1.279296875,
0.1,0.21484375,
0.1005,0.6396484375,
0.101,-0.3662109375,
0.1015,-1.73828125,
0.102,-1.03515625,
0.1025,1.420898438,
0.103,2.758789062,
0.1035,3.37890625,
0.104,2.1484375,
0.1045,-1.098632812,
0.105,-2.7734375,
0.1055,-1.840820312,
0.106,-0.3515625,
0.1065,0.2685546875,
0.107,-0.5224609375,
0.1075,-2.182617188,
0.108,-1.694335938,
0.1085,0.25390625,
0.109,2.065429688,
0.1095,4.08203125,
0.11,3.852539062,
0.1105,0.76171875,
0.111,-1.274414062,
0.1115,-1.577148438,
0.112,-1.127929688,
0.1125,-0.4443359375,
0.113,-1.049804688,
0.1135,-2.250976562,
0.114,-1.85546875,
0.1145,-0.5615234375,
0.115,1.420898438,
0.1155,4.130859375,
0.116,3.857421875,
0.1165,0.9716796875,
0.117,-1.274414062,
0.1175,-1.9921875,
0.118,-1.108398438,
0.1185,0.498046875,
0.119,0.537109375,
0.1195,-0.46875,
0.12,-1.020507812,
0.1205,-1.34765625,
0.121,0.1513671875,
0.1215,2.778320312,
