,abscissa_spec_data_type,excitation_type,field_type,func_type,measurement_id,model_id,orddenom_spec_data_type,ordinate_spec_data_type,ref_dir,ref_node,rsp_dir,rsp_node,uffid,zero_padding
52,18.0,impulse,,4.0,52.0,0.0,13.0,12.0,3.0,13.0,3.0,5.0,,0.0
53,18.0,impulse,,4.0,53.0,0.0,13.0,12.0,3.0,13.0,3.0,6.0,,0.0
54,18.0,impulse,,4.0,54.0,0.0,13.0,12.0,3.0,13.0,3.0,7.0,,0.0
55,18.0,impulse,,4.0,55.0,0.0,13.0,12.0,3.0,13.0,3.0,8.0,,0.0
56,18.0,impulse,,4.0,56.0,0.0,13.0,12.0,3.0,13.0,3.0,9.0,,0.0
57,18.0,impulse,,4.0,57.0,0.0,13.0,12.0,3.0,13.0,3.0,10.0,,0.0
58,18.0,impulse,,4.0,58.0,0.0,13.0,12.0,3.0,13.0,3.0,11.0,,0.0
59,18.0,impulse,,4.0,59.0,0.0,13.0,12.0,3.0,13.0,3.0,12.0,,0.0
60,18.0,impulse,,4.0,60.0,0.0,13.0,12.0,3.0,13.0,3.0,13.0,,0.0
61,18.0,impulse,,4.0,61.0,0.0,13.0,12.0,3.0,13.0,3.0,14.0,,0.0
62,18.0,impulse,,4.0,62.0,0.0,13.0,12.0,3.0,13.0,3.0,15.0,,0.0
63,18.0,impulse,,4.0,63.0,0.0,13.0,12.0,3.0,13.0,3.0,16.0,,0.0
64,18.0,impulse,,4.0,64.0,0.0,13.0,12.0,3.0,13.0,3.0,17.0,,0.0
65,18.0,impulse,,4.0,65.0,0.0,13.0,12.0,3.0,13.0,3.0,18.0,,0.0
66,18.0,impulse,,4.0,66.0,0.0,13.0,12.0,3.0,13.0,3.0,19.0,,0.0
67,18.0,impulse,,4.0,67.0,0.0,13.0,12.0,3.0,13.0,3.0,20.0,,0.0
68,18.0,impulse,,4.0,68.0,0.0,13.0,12.0,3.0,13.0,3.0,21.0,,0.0
69,18.0,impulse,,4.0,69.0,0.0,13.0,12.0,3.0,13.0,3.0,22.0,,0.0
70,18.0,impulse,,4.0,70.0,0.0,13.0,12.0,3.0,13.0,3.0,23.0,,0.0
71,18.0,impulse,,4.0,71.0,0.0,13.0,12.0,3.0,13.0,3.0,24.0,,0.0
72,18.0,impulse,,4.0,72.0,0.0,13.0,12.0,3.0,13.0,3.0,25.0,,0.0
73,18.0,impulse,,4.0,73.0,0.0,13.0,12.0,3.0,13.0,3.0,26.0,,0.0
