k,,0.60706,1.82372,0
k,,2.21742,3.7846,0
k,,4.27736,5.2197,0
k,,7.112,6.41858,0
k,,9.906,7.25932,0
k,,13.86078,8.03402,0
k,,18.92808,8.97382,0
k,,23.86584,9.41578,0
k,,29.03728,9.97712,0
k,,36.54044,10.55624,0
k,,43.75404,11.09726,0
k,,51.15814,11.39698,0
k,,58.55716,11.6967,0
k,,66.68262,11.91006,0
k,,75.51674,11.97102,0
k,,85.06206,11.8745,0
k,,93.93682,11.63828,0
k,,103.16972,11.35888,0
k,,110.78718,10.97788,0
k,,119.55526,10.46226,0
k,,127.93218,9.70026,0
k,,134.62762,8.91794,0
k,,139.87526,8.2296,0
k,,145.53184,7.2771,0
k,,150.31466,6.35254,0
k,,154.88158,5.45338,0
k,,160.64738,4.19608,0
k,,157.87116,4.8133,0
k,,164.25418,3.19024,0
k,,168.18102,2.44094,0
k,,173.27372,1.69926,0
k,,176.74082,1.36652,0
k,,179.74564,1.16078,0
k,,181.75224,0.8509,0
k,,183.17718,0.53848,0
k,,183.7436,0,0
k,,183.34228,-0.57404,0
k,,182.60822,-0.92456,0
k,,181.48808,-1.15824,0
k,,180.34508,-1.28016,0
k,,177.45456,-1.34112,0
k,,173.59376,-1.61798,0
k,,168.68902,-1.77292,0
k,,164.41928,-1.78308,0
k,,159.8422,-1.6129,0
k,,154.93746,-1.7653,0
k,,150.46452,-1.97358,0
k,,146.85264,-2.28092,0
k,,143.30934,-2.667,0
k,,139.4714,-3.02006,0
k,,135.10514,-3.60172,0
k,,130.28676,-4.27736,0
k,,125.42012,-4.72694,0
k,,120.33758,-5.15366,0
k,,115.47856,-5.53212,0
k,,111.07674,-5.74548,0
k,,104.12476,-5.95376,0
k,,98.55962,-6.10362,0
k,,93.93682,-6.26872,0
k,,87.23122,-6.30936,0 
k,,81.47812,-6.21792,0
k,,75.95616,-6.00964,0
k,,70.34784,-5.93598,0
k,,64.45758,-5.75818,0
k,,58.65876,-5.44322,0
k,,53.08092,-5.08254,0
k,,48.00854,-4.78028,0
k,,43.15206,-4.50342,0
k,,37.14496,-4.09194,0
k,,31.22422,-3.5433,0
k,,26.16708,-3.09626,0
k,,20.73402,-2.75336,0
k,,15.67942,-2.30886,0
k,,11.60526,-2.1971,0
k,,7.18058,-1.97104,0
k,,4.24942,-1.77292,0
k,,2.03454,-1.36652,0
k,,0.59436,-0.54356,0
k,,0.32258,0.90932,0


k,,-73.0458,0.90932,1759
k,,257.112,0,1759
